,employment_type,civil_status,education,credit_in_default,has_home_loan,has_personal_loan,contact_medium,last_contact_month,last_contact_weekday,previous_outcome,prev_contact_recency,previously_contacted
employment_type,1.0,0.18202248243745073,0.3585736226470615,0.15374831467405337,0.016558384669877527,0.007668101932875894,0.1286600822376986,0.11080334715483015,0.0170112845489371,0.09629729071082471,0.06998199837381489,0.13616786721882226
civil_status,0.18202248243745073,1.0,0.1185244729934066,0.09748529592985354,0.006642768867466766,0.005114670559764285,0.07071077254776055,0.04863376094924163,0.012113070890501145,0.03671137824594585,0.028407064163028958,0.04683548119357168
education,0.3585736226470615,0.1185244729934066,1.0,0.17844451881514678,0.015045267340721502,0.0,0.12723161255995397,0.09425971834297543,0.016299250735886072,0.04021999300716343,0.029157232676937792,0.051580960873956985
credit_in_default,0.15374831467405337,0.09748529592985354,0.17844451881514678,1.0,0.006552713868739068,0.0,0.13625363496721593,0.11274421662285054,0.00943491137526556,0.07790955579748404,0.05527525140825671,0.07967643153272029
has_home_loan,0.016558384669877527,0.006642768867466766,0.015045267340721502,0.006552713868739068,1.0,0.7077505347845942,0.0830982647085747,0.05100824375346996,0.014055612244679069,0.020631801857757315,0.013059197203403554,0.01610985155540489
has_personal_loan,0.007668101932875894,0.005114670559764285,0.0,0.0,0.7077505347845942,1.0,0.017468272250910747,0.01963327386703431,0.0,0.0,0.0,0.0
contact_medium,0.1286600822376986,0.07071077254776055,0.12723161255995397,0.13625363496721593,0.0830982647085747,0.017468272250910747,1.0,0.6077202455792893,0.060420443531798686,0.24343349807131479,0.11934438408937302,0.1196660090954179
last_contact_month,0.11080334715483015,0.04863376094924163,0.09425971834297543,0.11274421662285054,0.05100824375346996,0.01963327386703431,0.6077202455792893,1.0,0.07038250290517757,0.252061190497919,0.14177809492657356,0.2556867730482429
last_contact_weekday,0.0170112845489371,0.012113070890501145,0.016299250735886072,0.00943491137526556,0.014055612244679069,0.0,0.060420443531798686,0.07038250290517757,1.0,0.021856856260262052,0.00874474443927263,0.021047010536376407
previous_outcome,0.09629729071082471,0.03671137824594585,0.04021999300716343,0.07790955579748404,0.020631801857757315,0.0,0.24343349807131479,0.252061190497919,0.021856856260262052,1.0,0.6787428499109808,0.9481284431898201
prev_contact_recency,0.06998199837381489,0.028407064163028958,0.029157232676937792,0.05527525140825671,0.013059197203403554,0.0,0.11934438408937302,0.14177809492657356,0.00874474443927263,0.6787428499109808,1.0,0.9999387486345475
previously_contacted,0.13616786721882226,0.04683548119357168,0.051580960873956985,0.07967643153272029,0.01610985155540489,0.0,0.1196660090954179,0.2556867730482429,0.021047010536376407,0.9481284431898201,0.9999387486345475,1.0
