model,fold,pr_auc,roc_auc,brier,ks,lift_top10,train_pr_auc,train_roc_auc
Baseline (response rate),0,0.11226780975709329,0.5,0.09966374894493409,0.0,0.9997959183673469,0.11228499974480682,0.5
Baseline (response rate),1,0.11226780975709329,0.5,0.09966374894493409,0.0,1.072508348794063,0.11228499974480682,0.5
Baseline (response rate),2,0.11229073091057575,0.5,0.09968152279351607,0.0,0.8723710575139146,0.1122792691640298,0.5
Baseline (response rate),3,0.11229073091057575,0.5,0.09968152279351607,0.0,0.8905454545454546,0.1122792691640298,0.5
Baseline (response rate),4,0.11229073091057575,0.5,0.09968152279351607,0.0,0.9995918367346939,0.1122792691640298,0.5
Business rule (previous outcome),0,0.23110288729797912,0.6632657455214366,0.10206981016533988,0.23109847613871526,2.4540445269016695,0.26055549478689166,0.6767361869717703
Business rule (previous outcome),1,0.23237437867922833,0.6635117790923724,0.10377628087364771,0.2161357887915717,2.3995102040816327,0.2606251676323752,0.6767303460639861
Business rule (previous outcome),2,0.26232104015221064,0.6729077109642887,0.09853817884850961,0.2208957096261604,2.762508348794063,0.25299695086721263,0.6743862303615666
Business rule (previous outcome),3,0.27358419725074945,0.6830312787488502,0.0976725193956717,0.24435811658442752,2.871554730983302,0.25000027275707826,0.6718662914066501
Business rule (previous outcome),4,0.27683569768812494,0.6873149619469767,0.09800734993875053,0.242878648490424,2.962426716141002,0.2490311514596652,0.6707613388106661
Logistic scorecard (WoE),0,0.38888828958502764,0.7710984761387153,0.0831910871514572,0.44403812788728864,3.9991836734693877,0.43360342926195655,0.7870679426937692
Logistic scorecard (WoE),1,0.3950663862641575,0.7895549656138297,0.08206988154954716,0.5019732853947616,3.9991836734693877,0.43217334370532456,0.7838011765443779
Logistic scorecard (WoE),2,0.43168941762274304,0.7707817596387054,0.0804108361314082,0.4528435226227314,4.161936920222635,0.42288359175143964,0.7883020921529891
Logistic scorecard (WoE),3,0.44608188636371093,0.790663209835243,0.07899777295407025,0.4840754369825207,4.325506493506493,0.4187709199176385,0.78314895679806
Logistic scorecard (WoE),4,0.4546381003469538,0.7924839006439743,0.07704596351314857,0.5234506983357029,4.525424860853432,0.4172126186934134,0.7825069119968222
Logistic regression (one-hot),0,0.40926442633853233,0.7702633834319279,0.08237257390785085,0.4508677020840736,4.071896103896104,0.45205234024471513,0.7865386283928226
Logistic regression (one-hot),1,0.4143883872710505,0.7875103994648718,0.0808362576968685,0.49389953803382175,4.235499072356215,0.4539907606881566,0.7840298996984157
Logistic regression (one-hot),2,0.43316596851885686,0.7656372835995652,0.08024979046072019,0.4498686961612445,4.089239332096475,0.4473508682524064,0.7885450573342949
Logistic regression (one-hot),3,0.4617504362031567,0.7865980178974659,0.07783725774370462,0.4782010537760308,4.416378478664193,0.44153112374773157,0.782627969937387
Logistic regression (one-hot),4,0.4773132903588932,0.791530484235176,0.07566919572884688,0.5169641214351426,4.6162968460111315,0.43585110769325247,0.7820170617872412
Random forest,0,0.42342173578546516,0.7662796045067832,0.08145295575119127,0.43944396831037436,4.108252319109462,0.5227010383841463,0.860757501711765
Random forest,1,0.4348722502740613,0.786037751625243,0.07900529875810729,0.5039620393402872,4.235499072356215,0.5127360409429034,0.8523168280865342
Random forest,2,0.4511940044284595,0.7716274985364222,0.0790259210785935,0.4566814418332358,4.361855287569573,0.5133202049600684,0.8563241373723436
Random forest,3,0.46254328079338763,0.7971801037049427,0.07721868146764818,0.48827715982269804,4.416378478664193,0.5089164700254712,0.8519852979606344
Random forest,4,0.4937208819496868,0.7989179978255415,0.07458255005608205,0.5369641214351426,4.798040816326531,0.5037315719117439,0.8486274002529608
LightGBM,0,0.4119858401143204,0.7552243985033132,0.08253602968214813,0.4415180083195719,4.053717996289425,0.612492375075106,0.884908427110175
LightGBM,1,0.42872216282999825,0.7882752565898117,0.07987304487695662,0.4997972365643094,4.290033395176252,0.6034952357177253,0.878471759798874
LightGBM,2,0.4434248942288967,0.7663546458141675,0.07935679189669424,0.44759053274232674,4.325506493506493,0.6047657898844394,0.8803426730220453
LightGBM,3,0.46099527690107694,0.7869273229070837,0.07770680794691838,0.4892782470519361,4.470901669758812,0.6037054748870553,0.8784488904219847
LightGBM,4,0.48066867213060827,0.7967602659529982,0.07506192710028864,0.5264840679100109,4.707168831168831,0.5933248041711987,0.876912558667043
Random forest (tuned),0,0.4248481771010012,0.77651497731976,0.08120661850878372,0.4455456844833714,4.1627866419294985,0.5316881760678274,0.8149484641156578
Random forest (tuned),1,0.44025272300685564,0.7866564936558038,0.07868103327291362,0.5051543719559356,4.308211502782932,0.5270099714529468,0.8125412652948156
Random forest (tuned),2,0.453665235405078,0.775008990549469,0.07854960485243148,0.46074349753282595,4.434552875695733,0.5260047701781418,0.8146770438082097
Random forest (tuned),3,0.4613890424977062,0.7989117253491679,0.07717948594367906,0.49060550305260514,4.398204081632653,0.5255463149879541,0.8090647767777812
Random forest (tuned),4,0.49005874660349685,0.7984851969557583,0.0740703837717557,0.5298996403780212,4.761692022263451,0.516021952192049,0.8117123590161706
LightGBM (tuned),0,0.4239663499270745,0.7737565584564895,0.08136705348166798,0.44598423880097826,4.14460853432282,0.5079181034948566,0.8183922999325748
LightGBM (tuned),1,0.4437989347350487,0.7947363030163674,0.07844090149630215,0.5045239239950668,4.399102040816326,0.5025363529923359,0.8125569194503536
LightGBM (tuned),2,0.4560519673596056,0.7769020239190433,0.07848348555977515,0.4576791837417412,4.416378478664193,0.5013888717748195,0.8160751878913314
LightGBM (tuned),3,0.4697640820692106,0.798265242117588,0.07659268546412934,0.4976574391569792,4.452727272727273,0.49723947515247974,0.8110119215612489
LightGBM (tuned),4,0.497795089263131,0.7997302835159321,0.073902152966385,0.5325198628418499,4.798040816326531,0.489610093621762,0.8108864733920789
