column,kind,distinct,nulls,min,p01,median,p99,max,above_p99,sentinel_999,unknown_share,smallest_level_share
age,numeric,77,0,17.0,23.0,38.0,71.0,98.0,312.0,0.0,,
call_duration_s,numeric,1488,0,0.0,11.0,179.0,1268.0,4918.0,349.0,0.0,,
call_attempts,numeric,39,0,1.0,1.0,2.0,14.0,56.0,346.0,0.0,,
days_since_prev_campaign,numeric,26,0,0.0,3.0,999.0,999.0,999.0,0.0,33711.0,,
prev_campaign_attempts,numeric,8,0,0.0,0.0,0.0,2.0,7.0,264.0,0.0,,
employment_variation_rate,numeric,10,0,-3.4,-3.4,1.1,1.4,1.4,0.0,0.0,,
consumer_price_index,numeric,26,0,92.201,92.201,93.749,94.465,94.767,281.0,0.0,,
consumer_confidence_index,numeric,26,0,-50.8,-49.5,-41.8,-26.9,-26.9,0.0,0.0,,
interbank_rate_3m,numeric,314,0,0.634,0.655,4.857,4.968,5.045,163.0,0.0,,
number_of_employees,numeric,11,0,4963.6,4963.6,5191.0,5228.1,5228.1,0.0,0.0,,
employment_type,categorical,12,0,,,,,,,,0.008371428571428571,0.008371428571428571
civil_status,categorical,4,0,,,,,,,,0.0019714285714285715,0.0019714285714285715
education,categorical,8,0,,,,,,,,0.0422,0.0004857142857142857
credit_in_default,categorical,3,0,,,,,,,,0.20922857142857143,8.571428571428571e-05
has_home_loan,categorical,3,0,,,,,,,,0.02397142857142857,0.02397142857142857
has_personal_loan,categorical,3,0,,,,,,,,0.02397142857142857,0.02397142857142857
contact_medium,categorical,2,0,,,,,,,,0.0,0.36457142857142855
last_contact_month,categorical,10,0,,,,,,,,0.0,0.004371428571428571
last_contact_weekday,categorical,5,0,,,,,,,,0.0,0.18894285714285713
previous_outcome,categorical,3,0,,,,,,,,0.0,0.0332
