decile,customers,responders,response_rate,cumulative_share_of_responders,lift
1,1050,534,0.5085714285714286,0.4529262086513995,4.527968011632134
2,1050,239,0.2276190476190476,0.6556403731976251,2.026562462134981
3,1050,87,0.08285714285714285,0.729431721798134,0.7377026535805161
4,1049,60,0.057197330791229746,0.7803223070398643,0.5092454464084297
5,1050,63,0.06,0.833757421543681,0.5341984732824427
6,1050,66,0.06285714285714286,0.8897370653095844,0.559636495819702
7,1049,35,0.03336510962821735,0.9194232400339271,0.2970598437382507
8,1050,39,0.037142857142857144,0.9525021204410518,0.3306942929843693
9,1050,29,0.02761904761904762,0.9770992366412213,0.24590088452683873
10,1049,27,0.025738798856053385,1.0,0.22916045088379336
