feature,iv,strength,bins,gini,ks,chi2_p_value,cramers_v
leak_call_duration_s,1.9343600368102898,suspicious,10,0.6466727490153119,0.4693846681328974,,
number_of_employees,1.1140846790278633,suspicious,5,0.4841741581020397,0.4218200884755939,,
interbank_rate_3m,0.9912283302615728,suspicious,10,0.47163900619663657,0.4218200884755939,,
employment_variation_rate,0.7456335244565064,suspicious,5,0.41791921793595976,0.4218200884755939,,
consumer_confidence_index,0.7399482247710396,suspicious,8,0.06740809994898833,0.18739167593514028,,
prev_contact_recency,0.5479182593902547,suspicious,5,0.19185333790485104,,0.0,0.32325453407853505
previously_contacted,0.54536964104113,suspicious,2,0.19164342161380143,0.19164342161380166,,
previous_outcome,0.5430288419710572,suspicious,3,0.2263833050400983,,0.0,0.31885022031003674
last_contact_month,0.4771078692889,strong,10,0.3127367725642034,,0.0,0.27207033730077684
consumer_price_index,0.4687869607449263,strong,9,0.20696167451350966,0.22003662789239092,,
contact_medium,0.24088867660334434,medium,2,0.21576186852426393,,9.182950853610586e-109,0.14156423796962778
prev_campaign_attempts,0.22838175851078354,medium,2,0.21783892089880497,0.2089907594015773,,
employment_type,0.19293716139946357,medium,12,0.2248033215979126,,3.077725725263611e-116,0.15175507712661052
age,0.13644615229273227,medium,10,0.022173037522683292,0.08429713750512213,,
credit_in_default,0.12975768973223242,medium,3,0.12863013354964425,,6.860222625113124e-54,0.09957396261668383
education,0.05761156944019509,weak,8,0.12517177478027453,,4.580490915490462e-25,0.07105698534079871
call_attempts,0.05196996840929562,weak,4,0.1158101370619079,0.08487669445814972,,
civil_status,0.031933876206677696,weak,4,0.08563771836663014,,1.0498372929495289e-17,0.05685668820447216
last_contact_weekday,0.007616513904573864,not useful,5,0.04400638897483722,,0.0012745478957582204,0.02384753571111389
has_home_loan,0.001165542870761763,not useful,3,0.01662106856440415,,0.2339312934930099,0.006080100348324544
has_personal_loan,0.0009402873880720764,not useful,3,0.011425761617648078,,0.30667385040556816,0.0038544593573054606
