period,month,number_of_employees,customers,take_up_rate,call_rate,tp,fp,profit_per_10k_model,profit_per_10k_call_all
18,Cat_7_n***v,4963.6,35,0.5142857142857142,1.0,18,17,3690857.1428571427,3690857.1428571423
17,Cat_8_o***t,4963.6,43,0.37209302325581395,0.7441860465116279,13,19,1700697.6744186047,1840930.2325581396
16,Cat_9_s***p,4963.6,80,0.475,0.8375,37,30,3504625.0,3179749.9999999995
15,Cat_3_j***l,4991.6,78,0.6025641025641025,0.8974358974358975,46,24,4980256.410256411,4839358.974358974
14,Cat_4_j***n,4991.6,64,0.4375,0.75,25,23,2832031.25,2691875.0
13,Cat_1_a***g,4991.6,55,0.509090909090909,0.8363636363636363,26,20,3641090.909090909,3623272.7272727266
12,Cat_6_m***y,5008.7,57,0.543859649122807,0.9122807017543859,29,23,3882280.7017543856,4075614.0350877196
11,Cat_0_a***r,5008.7,56,0.5535714285714286,1.0,31,25,4201964.285714285,4201964.285714285
10,Cat_5_m***r,5008.7,68,0.5882352941176471,1.0,40,28,4652941.176470588,4652941.176470589
0,Cat_9_s***p,5017.5,64,0.421875,1.0,27,37,2488593.75,2488593.75
2,Cat_7_n***v,5017.5,101,0.5742574257425742,1.0,58,43,4471089.108910891,4471089.10891089
1,Cat_8_o***t,5017.5,126,0.4365079365079365,1.0,55,71,2678968.253968254,2678968.253968254
3,Cat_2_d***c,5023.5,38,0.3684210526315789,1.0,14,24,1793157.8947368423,1793157.8947368423
6,Cat_4_j***n,5076.2,169,0.3668639053254438,0.9822485207100592,61,105,1749171.597633136,1772899.4082840236
5,Cat_3_j***l,5076.2,46,0.3695652173913043,1.0,17,29,1808043.4782608696,1808043.4782608692
4,Cat_1_a***g,5076.2,216,0.3333333333333333,1.0,72,144,1336666.6666666665,1336666.666666666
8,Cat_6_m***y,5099.1,1498,0.09145527369826435,0.02336448598130841,6,29,-17983.978638184246,-1810166.889185581
7,Cat_5_m***r,5099.1,78,0.4230769230769231,1.0,33,45,2504230.7692307695,2504230.7692307695
9,Cat_0_a***r,5099.1,618,0.18446601941747573,0.30258899676375406,65,122,460598.7055016181,-600097.0873786405
19,Cat_2_d***c,5176.3,1,0.0,0.0,0,0,0.0,-3000000.0
22,Cat_6_m***y,5191.0,2012,0.02485089463220676,0.0,0,0,0.0,-2676689.86083499
20,Cat_7_n***v,5195.8,884,0.057692307692307696,0.0,0,0,0.0,-2249423.076923077
21,Cat_8_o***t,5195.8,16,0.6875,1.0,11,5,5944375.0,5944375.0
24,Cat_3_j***l,5228.1,1682,0.057074910820451845,0.0,0,0,0.0,-2257455.410225922
23,Cat_1_a***g,5228.1,1298,0.05084745762711865,0.0,0,0,0.0,-2338474.5762711866
25,Cat_4_j***n,5228.1,1114,0.03500897666068223,0.0,0,0,0.0,-2544533.213644524
