feature,pr_auc_drop,std
number_of_employees,0.178037272475771,0.0048176958999126725
contact_medium,0.029054758524911573,0.0026704206195814753
prev_contact_recency,0.025853671087142482,0.0044125986445883985
consumer_confidence_index,0.013545812012824055,0.001114499860255455
last_contact_month,0.013171356106665633,0.0011999432316858415
call_attempts,0.012022683764700448,0.0032227409712675655
previous_outcome,0.011701249159284744,0.003552556002481304
consumer_price_index,0.005488295414547229,0.0009647964903539586
age,0.003270909969524538,0.0013492577339339336
credit_in_default,0.0021203458351272907,0.0006356736065320521
prev_campaign_attempts,0.0017890616703734152,0.0002268211377828497
employment_type,0.0005262501164930323,0.0008688516899999899
civil_status,-0.000806603295582553,0.0007968745779840937
education,-0.001310784382503094,0.0007812911096505088
